Metric,Random Forest,Logistic Regression
Accuracy,0.7633262260127932,0.7938877043354655
ROC-AUC,0.8329135843371935,0.8344873195251876
Sensitivity,0.7192513368983957,0.0
Specificity,0.7792836398838335,0.0
Precision,0.5412474849094567,0.0
F1-Score,0.6176808266360504,0.0
